"id","level","cvss","title","Vulnerability","Solution","reference"
1848,"MEDIUM","5","Title - 1848","Vulnerability - 1848","Solution - 1848","reference - 1848"
1849,"HIGH","8.5","Title - 1849","Vulnerability - 1849","Solution - 1849","reference - 1849"
1850,"HIGH","9.3","Title - 1850","Vulnerability - 1850","Solution - 1850","reference - 1850"
1851,"MEDIUM","5","Title - 1851","Vulnerability - 1851","Solution - 1851","reference - 1851"
1852,"MEDIUM","6.4","Title - 1852","Vulnerability - 1852","Solution - 1852","reference - 1852"
1853,"MEDIUM","5","Title - 1853","Vulnerability - 1853","Solution - 1853","reference - 1853"
1854,"MEDIUM","5","Title - 1854","Vulnerability - 1854","Solution - 1854","reference - 1854"
1855,"MEDIUM","4.3","Title - 1855","Vulnerability - 1855","Solution - 1855","reference - 1855"
1856,"HIGH","7.1","Title - 1856","Vulnerability - 1856","Solution - 1856","reference - 1856"
1857,"HIGH","7.5","Title - 1857","Vulnerability - 1857","Solution - 1857","reference - 1857"
1858,"HIGH","7.5","Title - 1858","Vulnerability - 1858","Solution - 1858","reference - 1858"
1859,"HIGH","7.5","Title - 1859","Vulnerability - 1859","Solution - 1859","reference - 1859"
1860,"HIGH","9.3","Title - 1860","Vulnerability - 1860","Solution - 1860","reference - 1860"
1861,"MEDIUM","6.8","Title - 1861","Vulnerability - 1861","Solution - 1861","reference - 1861"
1862,"MEDIUM","6.8","Title - 1862","Vulnerability - 1862","Solution - 1862","reference - 1862"
1863,"MEDIUM","4.3","Title - 1863","Vulnerability - 1863","Solution - 1863","reference - 1863"
1864,"HIGH","7.5","Title - 1864","Vulnerability - 1864","Solution - 1864","reference - 1864"
1865,"HIGH","7.1","Title - 1865","Vulnerability - 1865","Solution - 1865","reference - 1865"
1866,"MEDIUM","4.3","Title - 1866","Vulnerability - 1866","Solution - 1866","reference - 1866"
1867,"MEDIUM","5.8","Title - 1867","Vulnerability - 1867","Solution - 1867","reference - 1867"
1868,"HIGH","7.5","Title - 1868","Vulnerability - 1868","Solution - 1868","reference - 1868"
1869,"HIGH","7.5","Title - 1869","Vulnerability - 1869","Solution - 1869","reference - 1869"
1870,"HIGH","10","Title - 1870","Vulnerability - 1870","Solution - 1870","reference - 1870"
1871,"HIGH","10","Title - 1871","Vulnerability - 1871","Solution - 1871","reference - 1871"
1872,"MEDIUM","6.5","Title - 1872","Vulnerability - 1872","Solution - 1872","reference - 1872"
1873,"MEDIUM","5","Title - 1873","Vulnerability - 1873","Solution - 1873","reference - 1873"
1874,"MEDIUM","5","Title - 1874","Vulnerability - 1874","Solution - 1874","reference - 1874"
1875,"HIGH","7.5","Title - 1875","Vulnerability - 1875","Solution - 1875","reference - 1875"
1876,"HIGH","7.5","Title - 1876","Vulnerability - 1876","Solution - 1876","reference - 1876"
1877,"HIGH","7.8","Title - 1877","Vulnerability - 1877","Solution - 1877","reference - 1877"
1878,"HIGH","7.5","Title - 1878","Vulnerability - 1878","Solution - 1878","reference - 1878"
1879,"HIGH","7.5","Title - 1879","Vulnerability - 1879","Solution - 1879","reference - 1879"
1880,"HIGH","7.5","Title - 1880","Vulnerability - 1880","Solution - 1880","reference - 1880"
1881,"HIGH","10","Title - 1881","Vulnerability - 1881","Solution - 1881","reference - 1881"
1882,"MEDIUM","5","Title - 1882","Vulnerability - 1882","Solution - 1882","reference - 1882"
1883,"MEDIUM","6.8","Title - 1883","Vulnerability - 1883","Solution - 1883","reference - 1883"
1884,"HIGH","10","Title - 1884","Vulnerability - 1884","Solution - 1884","reference - 1884"
1885,"LOW","2.1","Title - 1885","Vulnerability - 1885","Solution - 1885","reference - 1885"
1886,"MEDIUM","6.2","Title - 1886","Vulnerability - 1886","Solution - 1886","reference - 1886"
1887,"HIGH","7.2","Title - 1887","Vulnerability - 1887","Solution - 1887","reference - 1887"
1888,"HIGH","7.5","Title - 1888","Vulnerability - 1888","Solution - 1888","reference - 1888"
1889,"MEDIUM","5","Title - 1889","Vulnerability - 1889","Solution - 1889","reference - 1889"
1890,"MEDIUM","6.8","Title - 1890","Vulnerability - 1890","Solution - 1890","reference - 1890"
1891,"MEDIUM","5","Title - 1891","Vulnerability - 1891","Solution - 1891","reference - 1891"
1892,"MEDIUM","5","Title - 1892","Vulnerability - 1892","Solution - 1892","reference - 1892"
1893,"MEDIUM","5","Title - 1893","Vulnerability - 1893","Solution - 1893","reference - 1893"
1894,"MEDIUM","5","Title - 1894","Vulnerability - 1894","Solution - 1894","reference - 1894"
1895,"HIGH","7.5","Title - 1895","Vulnerability - 1895","Solution - 1895","reference - 1895"
1896,"LOW","4.6","Title - 1896","Vulnerability - 1896","Solution - 1896","reference - 1896"
1897,"MEDIUM","5","Title - 1897","Vulnerability - 1897","Solution - 1897","reference - 1897"
1898,"HIGH","10","Title - 1898","Vulnerability - 1898","Solution - 1898","reference - 1898"
1899,"HIGH","10","Title - 1899","Vulnerability - 1899","Solution - 1899","reference - 1899"
1900,"MEDIUM","4.6","Title - 1900","Vulnerability - 1900","Solution - 1900","reference - 1900"
1901,"MEDIUM","5","Title - 1901","Vulnerability - 1901","Solution - 1901","reference - 1901"
1902,"MEDIUM","5.4","Title - 1902","Vulnerability - 1902","Solution - 1902","reference - 1902"
1903,"HIGH","7.2","Title - 1903","Vulnerability - 1903","Solution - 1903","reference - 1903"
1904,"HIGH","7.5","Title - 1904","Vulnerability - 1904","Solution - 1904","reference - 1904"
1905,"HIGH","7.5","Title - 1905","Vulnerability - 1905","Solution - 1905","reference - 1905"
1906,"HIGH","7.5","Title - 1906","Vulnerability - 1906","Solution - 1906","reference - 1906"
1907,"LOW","7.4","Title - 1907","Vulnerability - 1907","Solution - 1907","reference - 1907"
1908,"MEDIUM","6.2","Title - 1908","Vulnerability - 1908","Solution - 1908","reference - 1908"
1909,"MEDIUM","5","Title - 1909","Vulnerability - 1909","Solution - 1909","reference - 1909"
1910,"MEDIUM","5","Title - 1910","Vulnerability - 1910","Solution - 1910","reference - 1910"
1911,"MEDIUM","5","Title - 1911","Vulnerability - 1911","Solution - 1911","reference - 1911"
1912,"HIGH","10","Title - 1912","Vulnerability - 1912","Solution - 1912","reference - 1912"
1913,"HIGH","7.5","Title - 1913","Vulnerability - 1913","Solution - 1913","reference - 1913"
1914,"MEDIUM","4.6","Title - 1914","Vulnerability - 1914","Solution - 1914","reference - 1914"
1915,"MEDIUM","4.3","Title - 1915","Vulnerability - 1915","Solution - 1915","reference - 1915"
1916,"HIGH","7.2","Title - 1916","Vulnerability - 1916","Solution - 1916","reference - 1916"
1917,"HIGH","7.5","Title - 1917","Vulnerability - 1917","Solution - 1917","reference - 1917"
1918,"HIGH","7.5","Title - 1918","Vulnerability - 1918","Solution - 1918","reference - 1918"
1919,"HIGH","10","Title - 1919","Vulnerability - 1919","Solution - 1919","reference - 1919"
1920,"HIGH","7.2","Title - 1920","Vulnerability - 1920","Solution - 1920","reference - 1920"
1921,"MEDIUM","4.3","Title - 1921","Vulnerability - 1921","Solution - 1921","reference - 1921"
1922,"MEDIUM","4.3","Title - 1922","Vulnerability - 1922","Solution - 1922","reference - 1922"
1923,"MEDIUM","6.4","Title - 1923","Vulnerability - 1923","Solution - 1923","reference - 1923"
1924,"HIGH","9","Title - 1924","Vulnerability - 1924","Solution - 1924","reference - 1924"
1925,"HIGH","10","Title - 1925","Vulnerability - 1925","Solution - 1925","reference - 1925"
1926,"HIGH","10","Title - 1926","Vulnerability - 1926","Solution - 1926","reference - 1926"
1927,"HIGH","10","Title - 1927","Vulnerability - 1927","Solution - 1927","reference - 1927"
1928,"HIGH","9","Title - 1928","Vulnerability - 1928","Solution - 1928","reference - 1928"
1929,"MEDIUM","6.8","Title - 1929","Vulnerability - 1929","Solution - 1929","reference - 1929"
1930,"MEDIUM","6.8","Title - 1930","Vulnerability - 1930","Solution - 1930","reference - 1930"
1931,"HIGH","7.5","Title - 1931","Vulnerability - 1931","Solution - 1931","reference - 1931"
1932,"HIGH","7.5","Title - 1932","Vulnerability - 1932","Solution - 1932","reference - 1932"
1933,"HIGH","7.5","Title - 1933","Vulnerability - 1933","Solution - 1933","reference - 1933"
1934,"HIGH","7.5","Title - 1934","Vulnerability - 1934","Solution - 1934","reference - 1934"
1935,"HIGH","7.5","Title - 1935","Vulnerability - 1935","Solution - 1935","reference - 1935"
1936,"HIGH","7.5","Title - 1936","Vulnerability - 1936","Solution - 1936","reference - 1936"
1937,"HIGH","7.5","Title - 1937","Vulnerability - 1937","Solution - 1937","reference - 1937"
1938,"MEDIUM","5","Title - 1938","Vulnerability - 1938","Solution - 1938","reference - 1938"
1939,"LOW","7.4","Title - 1939","Vulnerability - 1939","Solution - 1939","reference - 1939"
1940,"HIGH","7.5","Title - 1940","Vulnerability - 1940","Solution - 1940","reference - 1940"
1941,"MEDIUM","5","Title - 1941","Vulnerability - 1941","Solution - 1941","reference - 1941"
1942,"MEDIUM","6.8","Title - 1942","Vulnerability - 1942","Solution - 1942","reference - 1942"
1943,"MEDIUM","5","Title - 1943","Vulnerability - 1943","Solution - 1943","reference - 1943"
1944,"MEDIUM","6.8","Title - 1944","Vulnerability - 1944","Solution - 1944","reference - 1944"
1945,"MEDIUM","5","Title - 1945","Vulnerability - 1945","Solution - 1945","reference - 1945"
1946,"MEDIUM","4.3","Title - 1946","Vulnerability - 1946","Solution - 1946","reference - 1946"
1947,"MEDIUM","4.3","Title - 1947","Vulnerability - 1947","Solution - 1947","reference - 1947"
1948,"MEDIUM","6.9","Title - 1948","Vulnerability - 1948","Solution - 1948","reference - 1948"
1949,"MEDIUM","6.9","Title - 1949","Vulnerability - 1949","Solution - 1949","reference - 1949"
1950,"MEDIUM","4.6","Title - 1950","Vulnerability - 1950","Solution - 1950","reference - 1950"
1951,"MEDIUM","6.8","Title - 1951","Vulnerability - 1951","Solution - 1951","reference - 1951"
1952,"MEDIUM","4.3","Title - 1952","Vulnerability - 1952","Solution - 1952","reference - 1952"
1953,"MEDIUM","6.5","Title - 1953","Vulnerability - 1953","Solution - 1953","reference - 1953"
1954,"MEDIUM","5","Title - 1954","Vulnerability - 1954","Solution - 1954","reference - 1954"
1955,"MEDIUM","5","Title - 1955","Vulnerability - 1955","Solution - 1955","reference - 1955"
1956,"HIGH","7.5","Title - 1956","Vulnerability - 1956","Solution - 1956","reference - 1956"
1957,"HIGH","7.5","Title - 1957","Vulnerability - 1957","Solution - 1957","reference - 1957"
1958,"HIGH","7.5","Title - 1958","Vulnerability - 1958","Solution - 1958","reference - 1958"
1959,"LOW","0","Title - 1959","Vulnerability - 1959","Solution - 1959","reference - 1959"
1960,"LOW","0","Title - 1960","Vulnerability - 1960","Solution - 1960","reference - 1960"
1961,"LOW","0","Title - 1961","Vulnerability - 1961","Solution - 1961","reference - 1961"
1962,"LOW","0","Title - 1962","Vulnerability - 1962","Solution - 1962","reference - 1962"
1963,"LOW","0","Title - 1963","Vulnerability - 1963","Solution - 1963","reference - 1963"
1964,"MEDIUM","5","Title - 1964","Vulnerability - 1964","Solution - 1964","reference - 1964"
1965,"MEDIUM","6.4","Title - 1965","Vulnerability - 1965","Solution - 1965","reference - 1965"
1966,"MEDIUM","6.4","Title - 1966","Vulnerability - 1966","Solution - 1966","reference - 1966"
1967,"MEDIUM","6.4","Title - 1967","Vulnerability - 1967","Solution - 1967","reference - 1967"
1968,"MEDIUM","6.8","Title - 1968","Vulnerability - 1968","Solution - 1968","reference - 1968"
1969,"HIGH","9.3","Title - 1969","Vulnerability - 1969","Solution - 1969","reference - 1969"
1970,"HIGH","7.2","Title - 1970","Vulnerability - 1970","Solution - 1970","reference - 1970"
1971,"HIGH","7.2","Title - 1971","Vulnerability - 1971","Solution - 1971","reference - 1971"
1972,"HIGH","7.2","Title - 1972","Vulnerability - 1972","Solution - 1972","reference - 1972"
1973,"MEDIUM","4.3","Title - 1973","Vulnerability - 1973","Solution - 1973","reference - 1973"
1974,"MEDIUM","4.3","Title - 1974","Vulnerability - 1974","Solution - 1974","reference - 1974"
1975,"HIGH","7.5","Title - 1975","Vulnerability - 1975","Solution - 1975","reference - 1975"
1976,"HIGH","7.8","Title - 1976","Vulnerability - 1976","Solution - 1976","reference - 1976"
1977,"HIGH","7.8","Title - 1977","Vulnerability - 1977","Solution - 1977","reference - 1977"
1978,"MEDIUM","6.4","Title - 1978","Vulnerability - 1978","Solution - 1978","reference - 1978"
1979,"HIGH","10","Title - 1979","Vulnerability - 1979","Solution - 1979","reference - 1979"
1980,"HIGH","10","Title - 1980","Vulnerability - 1980","Solution - 1980","reference - 1980"
1981,"HIGH","10","Title - 1981","Vulnerability - 1981","Solution - 1981","reference - 1981"
1982,"LOW","0","Title - 1982","Vulnerability - 1982","Solution - 1982","reference - 1982"
1983,"HIGH","10","Title - 1983","Vulnerability - 1983","Solution - 1983","reference - 1983"
1984,"LOW","3.6","Title - 1984","Vulnerability - 1984","Solution - 1984","reference - 1984"
1985,"HIGH","7.5","Title - 1985","Vulnerability - 1985","Solution - 1985","reference - 1985"
1986,"MEDIUM","4.3","Title - 1986","Vulnerability - 1986","Solution - 1986","reference - 1986"
1987,"MEDIUM","5","Title - 1987","Vulnerability - 1987","Solution - 1987","reference - 1987"
1988,"HIGH","7.5","Title - 1988","Vulnerability - 1988","Solution - 1988","reference - 1988"
1989,"MEDIUM","4.3","Title - 1989","Vulnerability - 1989","Solution - 1989","reference - 1989"
1990,"MEDIUM","5.8","Title - 1990","Vulnerability - 1990","Solution - 1990","reference - 1990"
1991,"MEDIUM","6.4","Title - 1991","Vulnerability - 1991","Solution - 1991","reference - 1991"
1992,"MEDIUM","6.4","Title - 1992","Vulnerability - 1992","Solution - 1992","reference - 1992"
1993,"MEDIUM","5","Title - 1993","Vulnerability - 1993","Solution - 1993","reference - 1993"
1994,"MEDIUM","5","Title - 1994","Vulnerability - 1994","Solution - 1994","reference - 1994"
1995,"HIGH","8.5","Title - 1995","Vulnerability - 1995","Solution - 1995","reference - 1995"
1996,"MEDIUM","4.3","Title - 1996","Vulnerability - 1996","Solution - 1996","reference - 1996"
1997,"HIGH","7.5","Title - 1997","Vulnerability - 1997","Solution - 1997","reference - 1997"
1998,"HIGH","7.8","Title - 1998","Vulnerability - 1998","Solution - 1998","reference - 1998"
1999,"MEDIUM","5.8","Title - 1999","Vulnerability - 1999","Solution - 1999","reference - 1999"
2000,"MEDIUM","6.9","Title - 2000","Vulnerability - 2000","Solution - 2000","reference - 2000"
2001,"HIGH","7.5","Title - 2001","Vulnerability - 2001","Solution - 2001","reference - 2001"
2002,"HIGH","7.5","Title - 2002","Vulnerability - 2002","Solution - 2002","reference - 2002"
2003,"MEDIUM","5.8","Title - 2003","Vulnerability - 2003","Solution - 2003","reference - 2003"
2004,"HIGH","7.5","Title - 2004","Vulnerability - 2004","Solution - 2004","reference - 2004"
2005,"HIGH","7.8","Title - 2005","Vulnerability - 2005","Solution - 2005","reference - 2005"
2006,"HIGH","7.8","Title - 2006","Vulnerability - 2006","Solution - 2006","reference - 2006"
2007,"HIGH","10","Title - 2007","Vulnerability - 2007","Solution - 2007","reference - 2007"
2008,"HIGH","10","Title - 2008","Vulnerability - 2008","Solution - 2008","reference - 2008"
2009,"HIGH","10","Title - 2009","Vulnerability - 2009","Solution - 2009","reference - 2009"
2010,"HIGH","7.6","Title - 2010","Vulnerability - 2010","Solution - 2010","reference - 2010"
2011,"HIGH","7.5","Title - 2011","Vulnerability - 2011","Solution - 2011","reference - 2011"
2012,"MEDIUM","5","Title - 2012","Vulnerability - 2012","Solution - 2012","reference - 2012"
2013,"MEDIUM","5","Title - 2013","Vulnerability - 2013","Solution - 2013","reference - 2013"
2014,"MEDIUM","5","Title - 2014","Vulnerability - 2014","Solution - 2014","reference - 2014"
2015,"LOW","2.1","Title - 2015","Vulnerability - 2015","Solution - 2015","reference - 2015"
2016,"LOW","6.8","Title - 2016","Vulnerability - 2016","Solution - 2016","reference - 2016"
2017,"MEDIUM","5","Title - 2017","Vulnerability - 2017","Solution - 2017","reference - 2017"
2018,"LOW","0","Title - 2018","Vulnerability - 2018","Solution - 2018","reference - 2018"
2019,"HIGH","7.8","Title - 2019","Vulnerability - 2019","Solution - 2019","reference - 2019"
2020,"MEDIUM","5","Title - 2020","Vulnerability - 2020","Solution - 2020","reference - 2020"
2021,"MEDIUM","6.4","Title - 2021","Vulnerability - 2021","Solution - 2021","reference - 2021"
2022,"HIGH","7.5","Title - 2022","Vulnerability - 2022","Solution - 2022","reference - 2022"
2023,"MEDIUM","6.4","Title - 2023","Vulnerability - 2023","Solution - 2023","reference - 2023"
2024,"HIGH","10","Title - 2024","Vulnerability - 2024","Solution - 2024","reference - 2024"
2025,"HIGH","7.5","Title - 2025","Vulnerability - 2025","Solution - 2025","reference - 2025"
2026,"HIGH","10","Title - 2026","Vulnerability - 2026","Solution - 2026","reference - 2026"
2027,"HIGH","7.5","Title - 2027","Vulnerability - 2027","Solution - 2027","reference - 2027"
2028,"MEDIUM","5","Title - 2028","Vulnerability - 2028","Solution - 2028","reference - 2028"
2029,"HIGH","7.5","Title - 2029","Vulnerability - 2029","Solution - 2029","reference - 2029"
2030,"HIGH","7.5","Title - 2030","Vulnerability - 2030","Solution - 2030","reference - 2030"
2031,"HIGH","7.5","Title - 2031","Vulnerability - 2031","Solution - 2031","reference - 2031"
2032,"LOW","2.1","Title - 2032","Vulnerability - 2032","Solution - 2032","reference - 2032"
2033,"MEDIUM","6.4","Title - 2033","Vulnerability - 2033","Solution - 2033","reference - 2033"
2034,"HIGH","7.5","Title - 2034","Vulnerability - 2034","Solution - 2034","reference - 2034"
2035,"HIGH","7.8","Title - 2035","Vulnerability - 2035","Solution - 2035","reference - 2035"
2036,"HIGH","10","Title - 2036","Vulnerability - 2036","Solution - 2036","reference - 2036"
2037,"HIGH","10","Title - 2037","Vulnerability - 2037","Solution - 2037","reference - 2037"
2038,"HIGH","9.3","Title - 2038","Vulnerability - 2038","Solution - 2038","reference - 2038"
2039,"HIGH","10","Title - 2039","Vulnerability - 2039","Solution - 2039","reference - 2039"
2040,"HIGH","7.5","Title - 2040","Vulnerability - 2040","Solution - 2040","reference - 2040"
2041,"HIGH","7.5","Title - 2041","Vulnerability - 2041","Solution - 2041","reference - 2041"
2042,"LOW","3.3","Title - 2042","Vulnerability - 2042","Solution - 2042","reference - 2042"
2043,"MEDIUM","5","Title - 2043","Vulnerability - 2043","Solution - 2043","reference - 2043"
2044,"MEDIUM","4.4","Title - 2044","Vulnerability - 2044","Solution - 2044","reference - 2044"
2045,"HIGH","10","Title - 2045","Vulnerability - 2045","Solution - 2045","reference - 2045"
2046,"HIGH","7.5","Title - 2046","Vulnerability - 2046","Solution - 2046","reference - 2046"
2047,"MEDIUM","4.3","Title - 2047","Vulnerability - 2047","Solution - 2047","reference - 2047"
2048,"MEDIUM","5","Title - 2048","Vulnerability - 2048","Solution - 2048","reference - 2048"
2049,"HIGH","10","Title - 2049","Vulnerability - 2049","Solution - 2049","reference - 2049"
2050,"HIGH","7.2","Title - 2050","Vulnerability - 2050","Solution - 2050","reference - 2050"
2051,"MEDIUM","6.8","Title - 2051","Vulnerability - 2051","Solution - 2051","reference - 2051"
2052,"MEDIUM","6.4","Title - 2052","Vulnerability - 2052","Solution - 2052","reference - 2052"
2053,"LOW","2.1","Title - 2053","Vulnerability - 2053","Solution - 2053","reference - 2053"
2054,"MEDIUM","4.6","Title - 2054","Vulnerability - 2054","Solution - 2054","reference - 2054"
2055,"MEDIUM","5.7","Title - 2055","Vulnerability - 2055","Solution - 2055","reference - 2055"
2056,"MEDIUM","5","Title - 2056","Vulnerability - 2056","Solution - 2056","reference - 2056"
2057,"MEDIUM","6.8","Title - 2057","Vulnerability - 2057","Solution - 2057","reference - 2057"
2058,"MEDIUM","5","Title - 2058","Vulnerability - 2058","Solution - 2058","reference - 2058"
2059,"MEDIUM","5","Title - 2059","Vulnerability - 2059","Solution - 2059","reference - 2059"
2060,"MEDIUM","4.6","Title - 2060","Vulnerability - 2060","Solution - 2060","reference - 2060"
2061,"MEDIUM","5","Title - 2061","Vulnerability - 2061","Solution - 2061","reference - 2061"
2062,"HIGH","9.3","Title - 2062","Vulnerability - 2062","Solution - 2062","reference - 2062"
2063,"LOW","2.6","Title - 2063","Vulnerability - 2063","Solution - 2063","reference - 2063"
2064,"HIGH","7.1","Title - 2064","Vulnerability - 2064","Solution - 2064","reference - 2064"
2065,"LOW","3.6","Title - 2065","Vulnerability - 2065","Solution - 2065","reference - 2065"
2066,"MEDIUM","4.4","Title - 2066","Vulnerability - 2066","Solution - 2066","reference - 2066"
2067,"HIGH","8.5","Title - 2067","Vulnerability - 2067","Solution - 2067","reference - 2067"
2068,"MEDIUM","5.8","Title - 2068","Vulnerability - 2068","Solution - 2068","reference - 2068"
2069,"HIGH","7.5","Title - 2069","Vulnerability - 2069","Solution - 2069","reference - 2069"
2070,"HIGH","10","Title - 2070","Vulnerability - 2070","Solution - 2070","reference - 2070"
2071,"MEDIUM","6.8","Title - 2071","Vulnerability - 2071","Solution - 2071","reference - 2071"
2072,"HIGH","7.5","Title - 2072","Vulnerability - 2072","Solution - 2072","reference - 2072"
2073,"HIGH","7.2","Title - 2073","Vulnerability - 2073","Solution - 2073","reference - 2073"
2074,"MEDIUM","5.5","Title - 2074","Vulnerability - 2074","Solution - 2074","reference - 2074"
2075,"MEDIUM","6.8","Title - 2075","Vulnerability - 2075","Solution - 2075","reference - 2075"
2076,"MEDIUM","4.6","Title - 2076","Vulnerability - 2076","Solution - 2076","reference - 2076"
2077,"MEDIUM","5","Title - 2077","Vulnerability - 2077","Solution - 2077","reference - 2077"
2078,"HIGH","7.8","Title - 2078","Vulnerability - 2078","Solution - 2078","reference - 2078"
2079,"MEDIUM","5","Title - 2079","Vulnerability - 2079","Solution - 2079","reference - 2079"
2080,"MEDIUM","5","Title - 2080","Vulnerability - 2080","Solution - 2080","reference - 2080"
2081,"HIGH","10","Title - 2081","Vulnerability - 2081","Solution - 2081","reference - 2081"
2082,"MEDIUM","5","Title - 2082","Vulnerability - 2082","Solution - 2082","reference - 2082"
2083,"MEDIUM","5","Title - 2083","Vulnerability - 2083","Solution - 2083","reference - 2083"
2084,"MEDIUM","5","Title - 2084","Vulnerability - 2084","Solution - 2084","reference - 2084"
2085,"MEDIUM","6.8","Title - 2085","Vulnerability - 2085","Solution - 2085","reference - 2085"
2086,"HIGH","7.8","Title - 2086","Vulnerability - 2086","Solution - 2086","reference - 2086"
2087,"HIGH","7.5","Title - 2087","Vulnerability - 2087","Solution - 2087","reference - 2087"
2088,"HIGH","10","Title - 2088","Vulnerability - 2088","Solution - 2088","reference - 2088"
2089,"MEDIUM","6.8","Title - 2089","Vulnerability - 2089","Solution - 2089","reference - 2089"
2090,"MEDIUM","5","Title - 2090","Vulnerability - 2090","Solution - 2090","reference - 2090"
2091,"MEDIUM","4.3","Title - 2091","Vulnerability - 2091","Solution - 2091","reference - 2091"
2092,"HIGH","7.5","Title - 2092","Vulnerability - 2092","Solution - 2092","reference - 2092"
2093,"MEDIUM","5","Title - 2093","Vulnerability - 2093","Solution - 2093","reference - 2093"
2094,"MEDIUM","6.9","Title - 2094","Vulnerability - 2094","Solution - 2094","reference - 2094"
2095,"MEDIUM","6.8","Title - 2095","Vulnerability - 2095","Solution - 2095","reference - 2095"
2096,"HIGH","9.3","Title - 2096","Vulnerability - 2096","Solution - 2096","reference - 2096"
2097,"HIGH","10","Title - 2097","Vulnerability - 2097","Solution - 2097","reference - 2097"
2098,"HIGH","10","Title - 2098","Vulnerability - 2098","Solution - 2098","reference - 2098"
2099,"HIGH","10","Title - 2099","Vulnerability - 2099","Solution - 2099","reference - 2099"
2100,"LOW","0","Title - 2100","Vulnerability - 2100","Solution - 2100","reference - 2100"
2101,"MEDIUM","6.8","Title - 2101","Vulnerability - 2101","Solution - 2101","reference - 2101"
2102,"HIGH","7.5","Title - 2102","Vulnerability - 2102","Solution - 2102","reference - 2102"
2103,"MEDIUM","5","Title - 2103","Vulnerability - 2103","Solution - 2103","reference - 2103"
2104,"HIGH","10","Title - 2104","Vulnerability - 2104","Solution - 2104","reference - 2104"
2105,"MEDIUM","5","Title - 2105","Vulnerability - 2105","Solution - 2105","reference - 2105"
2106,"MEDIUM","6.8","Title - 2106","Vulnerability - 2106","Solution - 2106","reference - 2106"
2107,"HIGH","10","Title - 2107","Vulnerability - 2107","Solution - 2107","reference - 2107"
2108,"HIGH","10","Title - 2108","Vulnerability - 2108","Solution - 2108","reference - 2108"
2109,"MEDIUM","4.3","Title - 2109","Vulnerability - 2109","Solution - 2109","reference - 2109"
2110,"MEDIUM","5","Title - 2110","Vulnerability - 2110","Solution - 2110","reference - 2110"
2111,"MEDIUM","6.5","Title - 2111","Vulnerability - 2111","Solution - 2111","reference - 2111"
2112,"MEDIUM","6.8","Title - 2112","Vulnerability - 2112","Solution - 2112","reference - 2112"
2113,"MEDIUM","6.8","Title - 2113","Vulnerability - 2113","Solution - 2113","reference - 2113"
2114,"MEDIUM","4.3","Title - 2114","Vulnerability - 2114","Solution - 2114","reference - 2114"
2115,"HIGH","9.3","Title - 2115","Vulnerability - 2115","Solution - 2115","reference - 2115"
2116,"HIGH","9","Title - 2116","Vulnerability - 2116","Solution - 2116","reference - 2116"
2117,"HIGH","7.5","Title - 2117","Vulnerability - 2117","Solution - 2117","reference - 2117"
2118,"MEDIUM","4","Title - 2118","Vulnerability - 2118","Solution - 2118","reference - 2118"
2119,"HIGH","7.5","Title - 2119","Vulnerability - 2119","Solution - 2119","reference - 2119"
2120,"MEDIUM","5.1","Title - 2120","Vulnerability - 2120","Solution - 2120","reference - 2120"
2121,"MEDIUM","5","Title - 2121","Vulnerability - 2121","Solution - 2121","reference - 2121"
2122,"MEDIUM","4.3","Title - 2122","Vulnerability - 2122","Solution - 2122","reference - 2122"
2123,"HIGH","10","Title - 2123","Vulnerability - 2123","Solution - 2123","reference - 2123"
2124,"HIGH","7.2","Title - 2124","Vulnerability - 2124","Solution - 2124","reference - 2124"
2125,"HIGH","10","Title - 2125","Vulnerability - 2125","Solution - 2125","reference - 2125"
2126,"HIGH","10","Title - 2126","Vulnerability - 2126","Solution - 2126","reference - 2126"
2127,"MEDIUM","5","Title - 2127","Vulnerability - 2127","Solution - 2127","reference - 2127"
2128,"MEDIUM","5","Title - 2128","Vulnerability - 2128","Solution - 2128","reference - 2128"
2129,"MEDIUM","6.8","Title - 2129","Vulnerability - 2129","Solution - 2129","reference - 2129"
2130,"MEDIUM","5","Title - 2130","Vulnerability - 2130","Solution - 2130","reference - 2130"
2131,"MEDIUM","6.5","Title - 2131","Vulnerability - 2131","Solution - 2131","reference - 2131"
2132,"MEDIUM","4.9","Title - 2132","Vulnerability - 2132","Solution - 2132","reference - 2132"
2133,"MEDIUM","4.9","Title - 2133","Vulnerability - 2133","Solution - 2133","reference - 2133"
2134,"HIGH","7.1","Title - 2134","Vulnerability - 2134","Solution - 2134","reference - 2134"
2135,"HIGH","7.5","Title - 2135","Vulnerability - 2135","Solution - 2135","reference - 2135"
2136,"HIGH","7.5","Title - 2136","Vulnerability - 2136","Solution - 2136","reference - 2136"
2137,"HIGH","10","Title - 2137","Vulnerability - 2137","Solution - 2137","reference - 2137"
2138,"HIGH","7.2","Title - 2138","Vulnerability - 2138","Solution - 2138","reference - 2138"
2139,"HIGH","7.2","Title - 2139","Vulnerability - 2139","Solution - 2139","reference - 2139"
2140,"HIGH","7.5","Title - 2140","Vulnerability - 2140","Solution - 2140","reference - 2140"
2141,"HIGH","10","Title - 2141","Vulnerability - 2141","Solution - 2141","reference - 2141"
2142,"HIGH","10","Title - 2142","Vulnerability - 2142","Solution - 2142","reference - 2142"
2143,"HIGH","10","Title - 2143","Vulnerability - 2143","Solution - 2143","reference - 2143"
